Symbol	Name	Sector	SEC Filings
AZO	AutoZone Inc	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
AVB	"AvalonBay Communities, Inc."	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB
AVY	Avery Dennison Corp	Materials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY
BLL	Ball Corp	Materials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLL
BAC	Bank of America Corp	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
BAX	Baxter International Inc.	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX
BBT	BB&T Corporation	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBT
BDX	Becton Dickinson	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
BBBY	Bed Bath & Beyond	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBBY
BRK.B	Berkshire Hathaway	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B
BBY	Best Buy Co. Inc.	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY
BIIB	BIOGEN IDEC Inc.	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB
BLK	BlackRock	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK
HRB	Block H&R	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRB
BA	Boeing Company	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA
BWA	BorgWarner	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
BXP	Boston Properties	Real Estate	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP
BSX	Boston Scientific	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX
BMY	Bristol-Myers Squibb	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
AVGO	Broadcom	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
BF.B	Brown-Forman Corp.	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B
CHRW	C. H. Robinson Worldwide	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW
CA	"CA, Inc."	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CA
COG	Cabot Oil & Gas	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COG
CPB	Campbell Soup	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB
COF	Capital One Financial	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
CAH	Cardinal Health Inc.	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH
KMX	Carmax Inc	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX
CCL	Carnival Corp.	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL
CAT	Caterpillar Inc.	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
CBOE	CBOE Holdings	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE
CBS	CBS Corp.	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBS
CELG	Celgene Corp.	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CELG
CNC	Centene Corporation	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC
CNP	CenterPoint Energy	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP
CTL	CenturyLink Inc	Telecommunications Services	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTL
CERN	Cerner	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CERN
CF	CF Industries Holdings Inc	Materials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF
SCHW	Charles Schwab Corporation	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW
CHTR	Charter Communications	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR
CHK	Chesapeake Energy	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHK
CVX	Chevron Corp.	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX
CMG	Chipotle Mexican Grill	Consumer Discretionary	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG
CB	Chubb Limited	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB
CHD	Church & Dwight	Consumer Staples	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD
CI	CIGNA Corp.	Health Care	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI
XEC	Cimarex Energy	Energy	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEC
CINF	Cincinnati Financial	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF
CTAS	Cintas Corporation	Industrials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS
CSCO	Cisco Systems	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO
C	Citigroup Inc.	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C
CFG	Citizens Financial Group	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG
CTXS	Citrix Systems	Information Technology	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTXS
CME	CME Group Inc.	Financials	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME
CMS	CMS Energy	Utilities	http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS
